   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
 -6.63329   0.04599    -0.04391     0.10198      -0.09789
 -6.60826   0.05028    -0.04848     0.11056      -0.10729
 -6.58323   0.05201    -0.05061     0.11216      -0.10999
 -6.55820   0.05161    -0.05066     0.10758      -0.10662
 -6.53317   0.04991    -0.04932     0.09901      -0.09900
 -6.50814   0.04748    -0.04714     0.08856      -0.08912
 -6.48310   0.04481    -0.04454     0.07802      -0.07874
 -6.45807   0.04223    -0.04188     0.06883      -0.06935
 -6.43304   0.04005    -0.03957     0.06220      -0.06226
 -6.40801   0.03848    -0.03782     0.05925      -0.05872
 -6.38298   0.03736    -0.03651     0.06058      -0.05941
 -6.35795   0.03640    -0.03544     0.06668      -0.06484
 -6.33292   0.03549    -0.03442     0.07849      -0.07582
 -6.30788   0.03495    -0.03381     0.09905      -0.09525
 -6.28285   0.03550    -0.03424     0.13673      -0.13109
 -6.25782   0.03824    -0.03677     0.21069      -0.20172
 -6.23279   0.04470    -0.04285     0.35664      -0.34209
 -6.20776   0.05672    -0.05430     0.62765      -0.60482
 -6.18273   0.07599    -0.07283     1.08067      -1.04805
 -6.15770   0.10268    -0.09872     1.74509      -1.70441
 -6.13267   0.13409    -0.12955     2.58181      -2.53981
 -6.10763   0.16436    -0.15968     3.45931      -3.42706
 -6.08260   0.18602    -0.18174     4.17599      -4.16496
 -6.05757   0.19337    -0.18987     4.53475      -4.55105
 -6.03254   0.18544    -0.18273     4.43541      -4.47600
 -6.00751   0.16676    -0.16448     3.92796      -3.98086
 -5.98248   0.14517    -0.14279     3.18893      -3.23863
 -5.95745   0.12820    -0.12525     2.43774      -2.47151
 -5.93242   0.12004    -0.11634     1.84631      -1.85830
 -5.90738   0.12096    -0.11665     1.49163      -1.48347
 -5.88235   0.12818    -0.12368     1.36168      -1.34042
 -5.85732   0.13768    -0.13353     1.39185      -1.36713
 -5.83229   0.14551    -0.14222     1.50622      -1.48740
 -5.80726   0.14910    -0.14701     1.64968      -1.64315
 -5.78223   0.14820    -0.14733     1.80560      -1.81290
 -5.75720   0.14498    -0.14501     1.99182      -2.00981
 -5.73217   0.14263    -0.14305     2.23182      -2.25510
 -5.70713   0.14321    -0.14352     2.51466      -2.53877
 -5.68210   0.14629    -0.14614     2.77350      -2.79748
 -5.65707   0.14939    -0.14863     2.90689      -2.93242
 -5.63204   0.14989    -0.14853     2.83307      -2.86180
 -5.60701   0.14680    -0.14490     2.54143      -2.57200
 -5.58198   0.14099    -0.13861     2.10368      -2.13125
 -5.55695   0.13413    -0.13137     1.63863      -1.65655
 -5.53191   0.12768    -0.12465     1.25630      -1.25933
 -5.50688   0.12236    -0.11920     1.01621      -1.00298
 -5.48185   0.11868    -0.11540     0.91676      -0.89026
 -5.45682   0.11713    -0.11369     0.91154      -0.87818
 -5.43179   0.11806    -0.11440     0.93739      -0.90479
 -5.40676   0.12098    -0.11715     0.94050      -0.91506
 -5.38173   0.12433    -0.12051     0.89189      -0.87692
 -5.35670   0.12595    -0.12246     0.78987      -0.78529
